feature,importance
turnover_3m,0.053633785397815256
turnover_6m,0.05328178329774687
peg_ltgforward,0.03693022760886601
realized_vol_lag3,0.028223935617274393
gsector,0.027876298983617702
turnover,0.027087716505196157
vol_12m,0.02347175064138112
peg_1yrforward,0.02093870700688462
pe_op_basic,0.019253249327121608
idio_vol,0.017080324096424602
ix_realized_vol_x_manufacturing_employment,0.01456173737227343
cash_lt,0.01216047375612594
ff49_36,0.011788262595829942
mom_12_2,0.011695867283665243
pe_exi,0.011461565203107111
pe_op_dil,0.011259184547247014
ff49_22,0.010160120346716463
cash_ratio,0.009853509115566879
ps,0.009836799783400709
total_vol,0.009643824842120669
n_months,0.009209519163737606
ffi38,0.009166122236804613
alpha,0.008634204085963632
ff49_21,0.008612901437479238
realized_vol_lag1,0.008143214452255534
ff49_47,0.00795850672185838
ff49_2,0.007842712722830788
beta_mkt,0.007717683347833307
pretret_noa,0.007679492448626101
sp500_member_trend3,0.007460027880538759
ff49_38,0.007378840045201058
vol_6m,0.007225172602632269
ff49_20,0.006796426532412505
ff49_0,0.006761114461590562
sp500_member_lag3,0.006119723858618727
gpm_vs_industry,0.005979654798295829
ff49_30,0.005960948178890965
evm,0.005789426700623375
ix_vol_6m_x_manufacturing_employment,0.005496877897497049
ff49_48,0.005454261223179473
pe_inc,0.005377736815535097
ix_sp500_member_x_manufacturing_employment,0.005366035121759597
realized_vol,0.005253179154700124
ffi5,0.004965582220796941
ff49_43,0.004754120850217393
rd_sale,0.004668263342354334
ff49_11,0.004546416595225216
ff49_42,0.00440153777378577
mom_6m,0.004352976519977616
ff49_32,0.004331276999818529
