feature,importance,raw,pct
realized_vol,0.02910391237852506,223056.575522542,0.02910391237852506
realized_vol_lag1,0.028748092366320907,220329.51970982552,0.028748092366320907
ret_crsp,0.02556379799581873,195924.62910604477,0.02556379799581873
ix_realized_vol_x_manufacturing_employment,0.02314485789725753,177385.5238558054,0.02314485789725753
ix_realized_vol_x_building_permits,0.02146177763053371,164486.15432286263,0.02146177763053371
mom_12_2,0.01960666414263704,150268.29740953445,0.01960666414263704
market_cap_trend3,0.019230800046190603,147387.6208487749,0.019230800046190603
ptb,0.01458334538128627,111768.8590490818,0.01458334538128627
ix_realized_vol_x_nonfarm_payrolls,0.014308842418794682,109665.02881526947,0.014308842418794682
log_price_trend3,0.012542532102232636,96127.77219498158,0.012542532102232636
log_price_lag1,0.0121807135968402,93354.74306666851,0.0121807135968402
mom_12m,0.011096251835207436,85043.27195966244,0.011096251835207436
turnover_6m,0.011079968213330123,84918.47193670273,0.011079968213330123
turnover,0.010310923071676716,79024.39922618866,0.010310923071676716
log_market_cap_trend3,0.00866737631936705,66428.02024066448,0.00866737631936705
ff49_26,0.008540028006098288,65452.00442922115,0.008540028006098288
ocf_lct,0.00840554298407085,64421.29185414314,0.00840554298407085
ff49_38,0.008257380810924881,63285.75562334061,0.008257380810924881
ff49_48,0.007859546483784724,60236.69605076313,0.007859546483784724
ff49_30,0.0076854394363731465,58902.31456744671,0.0076854394363731465
sp500_member_trend3,0.007415290207031616,56831.85197144747,0.007415290207031616
ix_realized_vol_x_housing_starts,0.007248361969799787,55552.489923119545,0.007248361969799787
net_margin_trend,0.006778644409670165,51952.50690150261,0.006778644409670165
revision_breadth,0.006457262305858509,49489.388177871704,0.006457262305858509
ff49_44,0.006455916695732644,49479.075228095055,0.006455916695732644
realized_vol_lag3,0.006403744249985067,49079.21809089184,0.006403744249985067
vol_12m,0.006153305489826271,47159.81936907768,0.006153305489826271
ff49_43,0.005992253547178911,45925.49408864975,0.005992253547178911
rd_sale,0.005935509374338595,45490.598576664925,0.005935509374338595
ff49_18,0.00584144630543445,44769.68567121029,0.00584144630543445
ff49_33,0.005829896110237673,44681.16331195831,0.005829896110237673
ff49_36,0.005794905349583722,44412.98908352852,0.005794905349583722
fcf_to_revenue,0.005546301383255447,42507.65248584747,0.005546301383255447
ff49_10,0.005343297531900264,40951.80173587799,0.005343297531900264
ff49_22,0.005223242693448642,40031.68416571617,0.005223242693448642
operating_margin_trend,0.0052047724487104315,39890.12555027008,0.0052047724487104315
gsector,0.0050179514173064824,38458.30226278305,0.0050179514173064824
ff49_27,0.004819428773285945,36936.79613113403,0.004819428773285945
ix_up_vol_x_manufacturing_employment,0.0046843452180592325,35901.49631142616,0.0046843452180592325
pe_op_basic,0.004654372367992494,35671.78007233143,0.004654372367992494
ff49_8,0.004641801647200442,35575.43625795841,0.004641801647200442
ff49_2,0.004491974034929492,34427.13586187363,0.004491974034929492
ps,0.004398436520261271,33710.25087976456,0.004398436520261271
log_price_lag3,0.004386291831419459,33617.1722356081,0.004386291831419459
ff49_40,0.004149858206181082,31805.11088460684,0.004149858206181082
turnover_3m,0.004075216880328108,31233.049014687538,0.004075216880328108
idio_vol,0.004007600731001189,30714.829109311104,0.004007600731001189
ff49_28,0.004001888033370431,30671.04617202282,0.004001888033370431
insider_buy_ratio,0.003958807641280803,30340.871843338013,0.003958807641280803
ff49_20,0.003915738382762538,30010.78284394741,0.003915738382762538
piotroski_f_score,0.003902668372217548,29910.612401008606,0.003902668372217548
ff49_19,0.0038410896934089117,29438.66453909874,0.0038410896934089117
ff49_13,0.00379194965370128,29062.048198461533,0.00379194965370128
ix_up_vol_x_initial_claims,0.003773874668058278,28923.51890563965,0.003773874668058278
ff49_47,0.003765665973619933,28860.60628938675,0.003765665973619933
ff49_34,0.003763406874443785,28843.292227983475,0.003763406874443785
cash_debt,0.003758783706351606,28807.859601974487,0.003758783706351606
ix_realized_vol_x_consumer_credit,0.003745631515844648,28707.059319972992,0.003745631515844648
ff49_25,0.0036180526409764573,27729.27645123005,0.0036180526409764573
up_vol,0.0035991670474421296,27584.534542798996,0.0035991670474421296
ff49_12,0.0035981523162053886,27576.757496476173,0.0035981523162053886
insider_num_buys,0.003555346512017474,27248.687649011612,0.003555346512017474
ff49_31,0.0035427507710748957,27152.152076601982,0.0035427507710748957
piotroski_vs_industry,0.003520199499929861,26979.315887093544,0.003520199499929861
ptpm,0.0034930860364051197,26771.5143982172,0.0034930860364051197
ix_vol_6m_x_initial_claims,0.003461479871164617,26529.2801964283,0.003461479871164617
eps_revision_1m,0.0034390822273582893,26357.621428966522,0.0034390822273582893
opmad,0.003430782546381638,26294.0114787817,0.003430782546381638
ff49_39,0.003394962032614896,26019.47790300846,0.003394962032614896
ff49_16,0.0033814637750367907,25916.02531313896,0.0033814637750367907
ff49_42,0.003371613684177512,25840.532798349857,0.003371613684177512
ff49_6,0.0033677126109146398,25810.634411096573,0.0033677126109146398
ix_up_vol_x_building_permits,0.003324085478195762,25476.269783496857,0.003324085478195762
eps_revision_3m,0.0032915944321659225,25227.253727912903,0.0032915944321659225
ff49_9,0.0032761408222692144,25108.815036296844,0.0032761408222692144
consumer_sentiment,0.0032448818608597782,24869.241854667664,0.0032448818608597782
ix_realized_vol_x_initial_claims,0.003200438813964893,24528.623943328857,0.003200438813964893
ff49_32,0.0031839653794831554,24402.36916923523,0.0031839653794831554
gprof,0.0031202794621649588,23914.271127939224,0.0031202794621649588
staff_sale,0.003111709696168022,23848.591207265854,0.003111709696168022
