feature,importance
vol_12m,0.030958151483718513
idio_vol,0.028217767071351697
turnover_3m,0.02497015819923043
ffi12,0.023928334253717095
rd_sale,0.020310442488722383
mom_6m,0.020115177262346854
ffi10,0.01851276154107988
log_price_trend3,0.018333357611778393
turnover,0.018158093011073302
ix_log_price_x_nonfarm_payrolls,0.017868799608226318
pe_exi,0.01784645963158785
turnover_6m,0.017338188796042965
pe_op_basic,0.016050162592845016
total_vol,0.014882446220598495
inst_breadth,0.013383266196430417
ffi17,0.012816733877089532
gsector,0.012344658217369875
beat_miss_streak,0.01181462636064858
ff49_40,0.011739929369785579
ps,0.011606909951326768
ffi30,0.011405444463748927
log_market_cap_trend3,0.01128064244790368
ff49_44,0.010842573912641611
ffi49,0.010613811151392274
realized_vol_lag3,0.010221130233807463
vol_6m,0.009690537157833076
ff49_13,0.00942066762585659
unemployment_rate,0.009210156671851348
ix_vol_6m_x_building_permits,0.00909151019906642
ff49_9,0.00897906314067182
ff49_36,0.00893356349728691
lt_ppent,0.008553864110490476
ff49_47,0.008540463112943611
ff49_20,0.008476265851718947
ff49_27,0.007651796681475888
ff49_12,0.007605601069953394
ff49_48,0.007419133122699938
ffi38,0.007377363685241096
sue_ibes,0.007241081629726377
ix_vol_6m_x_manufacturing_employment,0.007103575772368979
ff49_22,0.007054958940046065
ff49_38,0.006960584846706173
staff_sale,0.006748093154734555
log_price,0.006568959297043933
price,0.0063978930422086385
ff49_19,0.006264898523548184
ff49_25,0.0062647387415492705
ff49_42,0.006024785752926532
ix_realized_vol_x_manufacturing_employment,0.005811345750567506
ff49_30,0.005692047804282241
