date,ic,n_stocks
2005-01-31,0.12062287166476039,4793
2005-02-28,0.20012746638267315,4782
2005-03-31,0.16674452362596126,4786
2005-04-30,0.08513977872627491,4776
2005-05-31,0.06590525639860882,4764
2005-06-30,-0.004922686366155854,4762
2005-07-31,0.13318856536794293,4762
2005-08-31,0.027832132525566867,4749
2005-09-30,0.20480312869339223,4760
2005-10-31,0.12738476513386637,4744
2005-11-30,0.07142971489607644,4744
2005-12-31,-0.0749224144092163,4728
2006-01-31,0.10543148429433505,4717
2006-02-28,0.042386301796000544,4700
2006-03-31,0.11544812392665113,4699
2006-04-30,0.1820584574038164,4696
2006-05-31,0.1468975884959833,4688
2006-06-30,0.1703863712902342,4694
2006-07-31,0.07650179843954799,4692
2006-08-31,0.12815922637427016,4687
2006-09-30,0.02387925611921467,4684
2006-10-31,0.02911130161819808,4674
2006-11-30,0.13785509545811866,4675
2006-12-31,0.06831234931096686,4668
2007-01-31,0.03936299845182626,4649
2007-02-28,0.0809293477738179,4637
2007-03-31,0.012882100471962166,4633
2007-04-30,0.1037890638231293,4617
2007-05-31,0.033662722892973694,4612
2007-06-30,0.0010501907721065364,4620
2007-07-31,0.20843726516028302,4618
2007-08-31,0.07010783106072963,4604
2007-09-30,0.06565115419654051,4609
2007-10-31,0.20348061053036337,4576
2007-11-30,0.08711410702087106,4568
2007-12-31,0.12937687828482008,4564
2008-01-31,0.17063217868024091,4574
2008-02-29,0.18560113235777626,4558
2008-03-31,0.14932107656698104,4541
2008-04-30,0.07712556956593832,4526
2008-05-31,0.0990736363926486,4498
2008-06-30,0.1640037424192515,4490
2008-07-31,0.0961761893981691,4463
2008-08-31,0.1035481156769846,4442
2008-09-30,0.10654497693820772,4415
2008-10-31,0.18489478735674714,4385
2008-11-30,0.23617819347167868,4353
2008-12-31,0.021956106873262726,4329
2009-01-31,0.09816318738303649,4301
2009-02-28,-0.02446299455001722,4273
2009-03-31,-0.13608991509598214,4241
2009-04-30,-0.041785853118122225,4207
2009-05-31,0.14224675716933322,4186
2009-06-30,0.009274606180706572,4155
2009-07-31,-0.06722502500392674,4136
2009-08-31,-0.012705149183805688,4118
2009-09-30,0.22994367114933134,4104
2009-10-31,0.1435186413185879,4087
2009-11-30,0.07576565634051537,4071
2009-12-31,0.014599627344683015,4062
2010-01-31,0.15577643117553583,4053
2010-02-28,0.131405848167479,4040
2010-03-31,-0.03965470644868068,4027
2010-04-30,0.15250202893900905,4016
2010-05-31,0.10799828176147414,4014
2010-06-30,0.13896209396434508,4017
2010-07-31,0.11881980184318255,3988
2010-08-31,0.118179687150549,3989
2010-09-30,0.04397479038019339,3983
2010-10-31,0.061678141694114966,3962
2010-11-30,-0.07281248921766635,3943
2010-12-31,0.09221934077808906,3920
2011-01-31,0.10475649854177872,3918
2011-02-28,0.14351080170938335,3911
2011-03-31,0.1153582531251401,3900
2011-04-30,0.11006614688296512,3876
2011-05-31,0.1692835471234851,3863
2011-06-30,0.04086298796013075,3836
2011-07-31,0.1957735671251711,3823
2011-08-31,0.13057272872348946,3832
2011-09-30,0.24760127795569656,3818
2011-10-31,0.17428519225854816,3808
2011-11-30,0.13107510694854385,3781
2011-12-31,-0.0486491913271231,3773
2012-01-31,0.0736095396473022,3758
2012-02-29,0.08124903048127673,3744
2012-03-31,0.12916104765774106,3746
2012-04-30,0.07806498917223866,3744
2012-05-31,0.06965642297847685,3738
2012-06-30,0.1524733023617015,3731
2012-07-31,0.07906671361896683,3710
2012-08-31,0.0006933105465136786,3702
2012-09-30,0.19722451258051274,3691
2012-10-31,0.1553128388379571,3667
2012-11-30,0.07830876541678918,3672
2012-12-31,0.06704120645183767,3647
2013-01-31,0.12160089028201002,3641
2013-02-28,0.07305517023274746,3632
2013-03-31,0.06790432567853025,3626
2013-04-30,0.04429941257231808,3611
2013-05-31,0.10552840853630265,3610
2013-06-30,0.0855468735753269,3614
2013-07-31,0.05060202541331403,3614
2013-08-31,0.042523994577150864,3620
2013-09-30,0.19976282295202513,3621
2013-10-31,0.049544129011535834,3629
2013-11-30,0.058016016059716465,3626
2013-12-31,-0.10994048985317342,3636
2014-01-31,0.01891852761198616,3638
2014-02-28,0.259098604640778,3640
2014-03-31,0.27900633042346284,3655
2014-04-30,0.1451983356869597,3676
2014-05-31,-0.06138862020529133,3691
2014-06-30,0.26274814090266374,3702
2014-07-31,0.10495531233819541,3712
2014-08-31,0.1855541054871186,3735
2014-09-30,0.2137732051056808,3741
2014-10-31,0.13899856692774878,3739
2014-11-30,0.0693663474908757,3750
2014-12-31,0.06932901102026705,3760
2015-01-31,0.06296248751905031,3759
2015-02-28,0.16783264966523653,3750
2015-03-31,0.01786016031608061,3744
2015-04-30,0.11272744445388837,3739
2015-05-31,0.11088760265140772,3743
2015-06-30,0.24825037354147775,3744
2015-07-31,0.1277982804055491,3744
2015-08-31,0.2838912703968085,3769
2015-09-30,0.15657305503177654,3769
2015-10-31,0.08482727032618069,3744
2015-11-30,0.19958835803497624,3751
2015-12-31,0.2982495442202215,3743
2016-01-31,0.11041008500760915,3719
2016-02-29,0.009024259105900219,3695
2016-03-31,-0.10364357262210168,3683
2016-04-30,0.12132206504426941,3670
2016-05-31,0.14676915577012306,3654
2016-06-30,0.03837626882336024,3653
2016-07-31,0.030664496144837655,3635
2016-08-31,-0.018741577276546115,3633
2016-09-30,0.3617775999392086,3614
2016-10-31,0.1232423701733163,3610
2016-11-30,0.1793598510789068,3611
2016-12-31,0.06431445630325981,3604
2017-01-31,0.11149703367844299,3596
2017-02-28,0.055813227011815236,3590
