feature,importance
gsector,13.379865322716853
beat_miss_streak,6.570746764662438
breakeven_10y,5.787894670302711
sue_ibes,5.092400149915553
pe_op_basic,3.4193307606735788
market_cap_trend3,3.0696314759495142
peg_ltgforward,2.844611912650593
eps_revision_3m,2.0893933909411553
num_recs,2.0836932303929023
down_vol,2.051230348921735
up_vol,2.0280443461183686
trade_weighted_usd,1.9730422032183654
capei,1.836604388340382
vol_12m,1.7572977720259384
fcf_ocf,1.728691132464847
pay_turn,1.70719916537799
rd_intensity,1.6422949367353687
capex_to_depreciation,1.6270257641188075
divyield,1.6112775048610335
non_current_accruals,1.5961447158414548
revision_breadth,1.5909939013567145
rect_turn,1.4770982898767633
fcf_to_revenue,1.4726879517318179
evm,1.4669811418924732
sale_invcap,1.4642310685788313
accruals_to_cash_flow,1.443973950661228
return_kurtosis,1.4356118695226987
beneish_depi,1.3916499349280158
sue,1.372818220681449
ps,1.3374902902747539
eps_dispersion,1.3258755271041467
log_market_cap,1.28819071372315
capex_intensity,1.2290473119306458
net_operating_assets,1.1919467389347425
aftret_equity,1.1394945180143465
roce,1.0909781867257384
intcov_ratio,1.085615719170511
aftret_invcapx,1.0841047231500445
inst_hhi,1.0610228094831182
peg_trailing,1.0509914411247785
pretret_noa,1.042177704185717
ohlson_o_score,1.0278234709112657
inst_ownership_change,1.0103250542858215
revenue_share,1.0029450944594527
insider_num_sells,0.9868338948587162
gross_margin_vol,0.9433671186085253
pretret_earnat,0.9402755842988377
roa_vs_industry,0.9169034458773735
gprof,0.8729635262357769
insider_buy_ratio,0.688051343236683
market_cap,0.6711094979462728
