feature,importance
ix_realized_vol_x_manufacturing_employment,0.029629365715573515
vol_12m,0.02665091028198288
turnover_3m,0.02606642927487586
ff49_21,0.025101825354937202
realized_vol_lag3,0.021301884725317268
pretret_earnat,0.019337868694785855
ix_down_vol_x_manufacturing_employment,0.016443369337386285
turnover_6m,0.0158482232779188
rd_sale,0.01551948360163189
realized_vol,0.015391333816696535
gsector,0.014557181602343787
ff49_38,0.014407275775451825
idio_vol,0.014287471377262672
cash_conversion_cycle,0.013918059694771464
ff49_31,0.013757050779501127
ffi38,0.012191353751530694
realized_vol_lag1,0.011482737018965662
npm,0.011095743185366953
ffi17,0.010929172978469629
pe_op_basic,0.010894535075252707
total_vol,0.010523291798517994
pe_exi,0.010305242967189179
log_price_trend3,0.010200497356617766
turnover,0.00953991926961211
down_vol,0.00943028424328559
ff49_34,0.009414793343130834
ff49_17,0.008342441659042457
be,0.00832518712126071
ffi12,0.007832929007649066
ff49_43,0.007824373362571642
cash_lt,0.00769988559372302
ff49_2,0.007574535857715719
ff49_12,0.007436115433285949
ff49_22,0.007404986944512373
ffi10,0.0072650004689655545
ff49_32,0.006871642537079498
mom_6m,0.006822016836877817
ff49_40,0.006804179813722645
sp500_member_lag1,0.006793562577586401
ff49_48,0.006792277247963413
ff49_20,0.006647740810460145
ffi30,0.0065080422500619056
ix_realized_vol_x_housing_starts,0.006476710545167426
ff49_30,0.0063679772540148625
ff49_0,0.00632291324714112
ff49_14,0.006239932238771355
dpo,0.006184328541204366
ff49_42,0.006172529158107343
ff49_28,0.0060964524930775775
ix_realized_vol_x_building_permits,0.006070316329601178
